,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
0,Kantara,2022,Not Rated,148,"
Action, Adventure, Drama            ",9.1,https://www.imdb.com/title/tt15327088,,62631
1,All Quiet on the Western Front,2022,R,148,"
Action, Drama, War            ",7.9,https://www.imdb.com/title/tt1016150,75,38887
2,Top Gun: Maverick,2022,PG-13,130,"
Action, Drama            ",8.4,https://www.imdb.com/title/tt1745960,78,419745
3,Halloween,1978,R,91,"
Horror, Thriller            ",7.7,https://www.imdb.com/title/tt0077651,87,280678
4,Everything Everywhere All at Once,2022,R,139,"
Action, Adventure, Comedy            ",8.1,https://www.imdb.com/title/tt6710474,81,232376
5,The Batman,2022,PG-13,176,"
Action, Crime, Drama            ",7.9,https://www.imdb.com/title/tt1877830,72,617276
6,The Nightmare Before Christmas,1993,PG,76,"
Animation, Family, Fantasy            ",7.9,https://www.imdb.com/title/tt0107688,82,337866
7,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"
Action, Adventure, Drama            ",8.8,https://www.imdb.com/title/tt0120737,92,1861807
8,American Psycho,2000,R,102,"
Crime, Drama, Horror            ",7.6,https://www.imdb.com/title/tt0144084,64,609867
9,Harry Potter and the Sorcerer's Stone,2001,PG,152,"
Adventure, Family, Fantasy            ",7.6,https://www.imdb.com/title/tt0241527,65,774354
10,The Shawshank Redemption,1994,R,142,"
Drama            ",9.3,https://www.imdb.com/title/tt0111161,81,2658462
11,The Godfather,1972,R,175,"
Crime, Drama            ",9.2,https://www.imdb.com/title/tt0068646,100,1842443
12,Interstellar,2014,PG-13,169,"
Adventure, Drama, Sci-Fi            ",8.6,https://www.imdb.com/title/tt0816692,74,1803818
13,The Shining,1980,R,146,"
Drama, Horror            ",8.4,https://www.imdb.com/title/tt0081505,66,1015200
14,The Goonies,1985,PG,114,"
Adventure, Comedy, Family            ",7.7,https://www.imdb.com/title/tt0089218,62,274073
15,Spider-Man: No Way Home,2021,PG-13,148,"
Action, Adventure, Fantasy            ",8.3,https://www.imdb.com/title/tt10872600,71,741165
16,Ghostbusters,1984,PG,105,"
Action, Comedy, Fantasy            ",7.8,https://www.imdb.com/title/tt0087332,71,414992
17,Dune,2021,PG-13,155,"
Action, Adventure, Drama            ",8.0,https://www.imdb.com/title/tt1160419,74,622576
18,Joker,2019,R,122,"
Crime, Drama, Thriller            ",8.4,https://www.imdb.com/title/tt7286456,59,1261531
19,Avengers: Endgame,2019,PG-13,181,"
Action, Adventure, Drama            ",8.4,https://www.imdb.com/title/tt4154796,78,1114707
20,Knives Out,2019,PG-13,130,"
Comedy, Crime, Drama            ",7.9,https://www.imdb.com/title/tt8946378,82,619345
21,Pulp Fiction,1994,R,154,"
Crime, Drama            ",8.9,https://www.imdb.com/title/tt0110912,94,2034779
