,genres,movie_title,imdb_score,movie_imdb_link
0,"
Action, Adventure, Drama            ",Kantara,9.1,https://www.imdb.com/title/tt15327088
1,"
Action, Drama, War            ",All Quiet on the Western Front,7.9,https://www.imdb.com/title/tt1016150
2,"
Action, Drama            ",Top Gun: Maverick,8.4,https://www.imdb.com/title/tt1745960
3,"
Horror, Thriller            ",Halloween,7.7,https://www.imdb.com/title/tt0077651
4,"
Action, Adventure, Comedy            ",Everything Everywhere All at Once,8.1,https://www.imdb.com/title/tt6710474
5,"
Action, Crime, Drama            ",The Batman,7.9,https://www.imdb.com/title/tt1877830
6,"
Animation, Family, Fantasy            ",The Nightmare Before Christmas,7.9,https://www.imdb.com/title/tt0107688
7,"
Action, Adventure, Drama            ",The Lord of the Rings: The Fellowship of the Ring,8.8,https://www.imdb.com/title/tt0120737
8,"
Crime, Drama, Horror            ",American Psycho,7.6,https://www.imdb.com/title/tt0144084
9,"
Adventure, Family, Fantasy            ",Harry Potter and the Sorcerer's Stone,7.6,https://www.imdb.com/title/tt0241527
10,"
Drama            ",The Shawshank Redemption,9.3,https://www.imdb.com/title/tt0111161
11,"
Crime, Drama            ",The Godfather,9.2,https://www.imdb.com/title/tt0068646
12,"
Adventure, Drama, Sci-Fi            ",Interstellar,8.6,https://www.imdb.com/title/tt0816692
13,"
Drama, Horror            ",The Shining,8.4,https://www.imdb.com/title/tt0081505
14,"
Adventure, Comedy, Family            ",The Goonies,7.7,https://www.imdb.com/title/tt0089218
15,"
Action, Adventure, Fantasy            ",Spider-Man: No Way Home,8.3,https://www.imdb.com/title/tt10872600
16,"
Action, Comedy, Fantasy            ",Ghostbusters,7.8,https://www.imdb.com/title/tt0087332
17,"
Action, Adventure, Drama            ",Dune,8.0,https://www.imdb.com/title/tt1160419
18,"
Crime, Drama, Thriller            ",Joker,8.4,https://www.imdb.com/title/tt7286456
19,"
Action, Adventure, Drama            ",Avengers: Endgame,8.4,https://www.imdb.com/title/tt4154796
20,"
Comedy, Crime, Drama            ",Knives Out,7.9,https://www.imdb.com/title/tt8946378
21,"
Crime, Drama            ",Pulp Fiction,8.9,https://www.imdb.com/title/tt0110912
22,"
Drama            ",Fight Club,8.8,https://www.imdb.com/title/tt0137523
23,"
Action, Crime, Drama            ",The Dark Knight,9.0,https://www.imdb.com/title/tt0468569
24,"
Horror            ",The Exorcist,8.1,https://www.imdb.com/title/tt0070047
25,"
Action, Adventure, Sci-Fi            ",Rogue One: A Star Wars Story,7.8,https://www.imdb.com/title/tt3748528
26,"
Action, Adventure, Fantasy            ",Avatar,7.8,https://www.imdb.com/title/tt0499549
27,"
Biography, Comedy, Crime            ",The Wolf of Wall Street,8.2,https://www.imdb.com/title/tt0993846
28,"
Comedy, Drama            ",Once Upon a Time in Hollywood,7.6,https://www.imdb.com/title/tt7131622
29,"
Crime, Drama, Thriller            ",The Silence of the Lambs,8.6,https://www.imdb.com/title/tt0102926
30,"
Horror, Mystery, Sci-Fi            ",The Thing,8.2,https://www.imdb.com/title/tt0084787
31,"
Drama, Thriller            ",Parasite,8.5,https://www.imdb.com/title/tt6751668
32,"
Adventure, Comedy, Sci-Fi            ",Back to the Future,8.5,https://www.imdb.com/title/tt0088763
33,"
Horror, Mystery, Thriller            ",Get Out,7.7,https://www.imdb.com/title/tt5052448
34,"
Action, Adventure, Sci-Fi            ",Inception,8.8,https://www.imdb.com/title/tt1375666
35,"
Drama            ",American Beauty,8.4,https://www.imdb.com/title/tt0169547
36,"
Action, Adventure, Drama            ",The Lord of the Rings: The Return of the King,9.0,https://www.imdb.com/title/tt0167260
37,"
Action, Drama            ",RRR,8.0,https://www.imdb.com/title/tt8178634
38,"
Animation, Drama, Family            ",Coraline,7.7,https://www.imdb.com/title/tt0327597
39,"
Comedy, Crime, Drama            ",In Bruges,7.9,https://www.imdb.com/title/tt0780536
40,"
Adventure, Drama, War            ",Inglourious Basterds,8.3,https://www.imdb.com/title/tt0361748
41,"
Crime, Drama, Mystery            ",Se7en,8.6,https://www.imdb.com/title/tt0114369
42,"
Drama, Fantasy, Romance            ",Edward Scissorhands,7.9,https://www.imdb.com/title/tt0099487
43,"
Drama, Romance            ",Forrest Gump,8.8,https://www.imdb.com/title/tt0109830
44,"
Action, Comedy, Crime            ",The Gentlemen,7.8,https://www.imdb.com/title/tt8367814
45,"
Drama, Romance            ",Titanic,7.9,https://www.imdb.com/title/tt0120338
46,"
Action, Drama, Mystery            ",Blade Runner 2049,8.0,https://www.imdb.com/title/tt1856101
47,"
Action, Adventure, Fantasy            ",Zack Snyder's Justice League,8.0,https://www.imdb.com/title/tt12361974
48,"
Drama, Horror, Sci-Fi            ",The Bride of Frankenstein,7.8,https://www.imdb.com/title/tt0026138
49,"
Horror, Sci-Fi            ",Alien,8.5,https://www.imdb.com/title/tt0078748
50,"
Action, Adventure, Drama            ",Gladiator,8.5,https://www.imdb.com/title/tt0172495
51,"
Drama, Music            ",Whiplash,8.5,https://www.imdb.com/title/tt2582802
52,"
Action, Adventure, Drama            ",The Lord of the Rings: The Two Towers,8.8,https://www.imdb.com/title/tt0167261
53,"
Biography, Drama, History            ",Schindler's List,9.0,https://www.imdb.com/title/tt0108052
54,"
Mystery, Thriller            ",Shutter Island,8.2,https://www.imdb.com/title/tt1130884
55,"
Crime, Drama, Thriller            ",The Departed,8.5,https://www.imdb.com/title/tt0407887
56,"
Action, Adventure, Sci-Fi            ",Jurassic Park,8.2,https://www.imdb.com/title/tt0107290
57,"
Action, Crime, Drama            ",Léon: The Professional,8.5,https://www.imdb.com/title/tt0110413
58,"
Comedy            ",Young Frankenstein,8.0,https://www.imdb.com/title/tt0072431
59,"
Horror, Mystery, Thriller            ",Psycho,8.5,https://www.imdb.com/title/tt0054215
60,"
Action, Comedy, Crime            ",Kick-Ass,7.6,https://www.imdb.com/title/tt1250777
61,"
Crime, Sci-Fi            ",A Clockwork Orange,8.3,https://www.imdb.com/title/tt0066921
62,"
Adventure, Fantasy            ",The Hobbit: An Unexpected Journey,7.8,https://www.imdb.com/title/tt0903624
63,"
Action, Sci-Fi            ",The Matrix,8.7,https://www.imdb.com/title/tt0133093
64,"
Crime, Drama, Mystery            ",Prisoners,8.1,https://www.imdb.com/title/tt1392214
65,"
Drama, Western            ",Django Unchained,8.4,https://www.imdb.com/title/tt1853728
66,"
Biography, Crime, Drama            ",Goodfellas,8.7,https://www.imdb.com/title/tt0099685
67,"
Action, Adventure, Fantasy            ",Pirates of the Caribbean: The Curse of the Black Pearl,8.1,https://www.imdb.com/title/tt0325980
68,"
Horror, Mystery, Thriller            ",Saw,7.6,https://www.imdb.com/title/tt0387564
69,"
Drama, War            ",All Quiet on the Western Front,8.1,https://www.imdb.com/title/tt0020629
70,"
Drama            ",The Help,8.1,https://www.imdb.com/title/tt1454029
71,"
Drama, Mystery, Thriller            ",The Sixth Sense,8.2,https://www.imdb.com/title/tt0167404
72,"
Action, Drama, War            ",1917,8.2,https://www.imdb.com/title/tt8579674
73,"
Animation, Adventure, Comedy            ",Coco,8.4,https://www.imdb.com/title/tt2380307
